method,env_id,category,support_group,episodes,average_reward,success_rate,invalid_move_rate,repeated_action_rate,average_turns
fixed_prompt,2048-v0-3x3,puzzle,generic_fallback,3,0.0029312785109156074,0.0,1.0,1.0,8.333333333333334
fixed_prompt,2048-v0-mega-easy,puzzle,generic_fallback,3,0.04917114695340502,0.0,1.0,1.0,7.333333333333333
fixed_prompt,2048-v0-super-easy,puzzle,generic_fallback,3,0.024443342151675485,0.0,1.0,1.0,7.333333333333333
fixed_prompt,2048-v0-ultra-easy,puzzle,generic_fallback,3,0.09953703703703705,0.0,1.0,1.0,7.333333333333333
fixed_prompt,2048-v0-very-easy,puzzle,generic_fallback,3,0.01218695319335083,0.0,1.0,1.0,7.333333333333333
fixed_prompt,Alquerque-v0,board_game,generic_fallback,6,0.0,0.5,0.5,1.0,3.0
fixed_prompt,Bandit-v0,stochastic_decision,supported_policy_family,3,0.2620123154715635,0.0,0.0,1.0,21.0
fixed_prompt,Bandit-v0-hard,stochastic_decision,supported_policy_family,3,0.22358462371953228,0.0,0.0,1.0,41.0
fixed_prompt,Battleship-v0,board_game,generic_fallback,6,0.0,0.5,0.5,1.0,4.0
fixed_prompt,Blackjack-v0,stochastic_decision,supported_policy_family,3,0.26666666666666666,0.0,0.0,1.0,5.0
fixed_prompt,Blackjack-v0-long,stochastic_decision,supported_policy_family,3,0.26666666666666666,0.0,0.0,1.0,15.0
fixed_prompt,Breakthrough-v0-tiny,board_game,generic_fallback,6,0.0,0.5,0.5,0.0,3.0
fixed_prompt,Checkers-v0,board_game,generic_fallback,6,0.0,0.5,0.5,0.0,2.0
fixed_prompt,Chopsticks-v0,board_game,generic_fallback,6,0.0,0.5,0.5,1.0,2.0
fixed_prompt,ConnectFour-v0,board_game,supported_policy_family,6,0.0,0.5,0.0,1.0,19.0
fixed_prompt,ConnectFour-v0-blind,board_game,supported_policy_family,6,0.0,0.5,0.5,1.0,8.0
fixed_prompt,Countdown-v0,puzzle,generic_fallback,3,0.0,0.0,1.0,0.0,4.0
fixed_prompt,Crosswords-v0,language_puzzle,generic_fallback,3,0.0,0.0,1.0,0.0,2.0
fixed_prompt,Cryptarithm-v0,symbolic_puzzle,generic_fallback,3,0.0,0.0,1.0,1.0,2.0
fixed_prompt,FrozenLake-v0,planning,supported_policy_family,3,0.5,0.0,1.0,1.0,5.0
fixed_prompt,FrozenLake-v0-hardcore,planning,supported_policy_family,3,0.4166666666666667,0.0,0.3333333333333333,1.0,4.0
fixed_prompt,FrozenLake-v0-random,planning,supported_policy_family,3,0.0,0.0,1.0,1.0,2.0
fixed_prompt,GameOfPureStrategy-v0,social_game,generic_fallback,6,0.0,0.5,0.5,1.0,16.0
fixed_prompt,GermanWhist-v0,card_game,generic_fallback,6,0.0,0.5,0.5,1.0,2.0
fixed_prompt,GuessTheNumber-v0,deduction,supported_policy_family,3,0.7894736842105262,0.0,0.0,0.0,11.0
fixed_prompt,GuessTheNumber-v0-hardcore,deduction,supported_policy_family,3,0.6190476190476191,0.0,0.0,0.0,11.0
fixed_prompt,Hangman-v0,language_puzzle,generic_fallback,3,0.5634920634920635,0.0,0.3333333333333333,0.3333333333333333,9.0
fixed_prompt,Hangman-v0-hardcore,language_puzzle,generic_fallback,3,0.7450142450142451,0.0,1.0,1.0,12.0
fixed_prompt,IteratedPrisonersDilemma-v0,social_game,generic_fallback,6,0.0,0.0,0.0,1.0,40.0
fixed_prompt,IteratedRockPaperScissors-v0,social_game,generic_fallback,6,0.0,0.0,0.0,1.0,18.0
fixed_prompt,KuhnPoker-v0-short,card_game,generic_fallback,6,0.0,0.5,0.5,1.0,5.666666666666667
fixed_prompt,LightsOut-v0,puzzle,supported_policy_family,3,-0.15384615384615385,0.0,0.0,1.0,20.0
fixed_prompt,LogicPuzzle-v0,symbolic_puzzle,generic_fallback,3,0.0,0.0,1.0,0.0,2.0
fixed_prompt,LogicPuzzle-v0-hard,symbolic_puzzle,generic_fallback,3,0.0,0.0,1.0,0.0,2.0
fixed_prompt,Mastermind-v0,deduction,supported_policy_family,3,0.5833333333333334,0.0,1.0,1.0,5.0
fixed_prompt,Mastermind-v0-hard,deduction,supported_policy_family,3,0.375,0.0,1.0,1.0,5.0
fixed_prompt,Minesweeper-v0-small,puzzle,generic_fallback,3,0.0,0.0,1.0,1.0,4.0
fixed_prompt,Nim-v0,board_game,supported_policy_family,6,0.0,0.5,0.0,1.0,12.0
fixed_prompt,Nim-v0-medium,board_game,supported_policy_family,6,0.0,0.5,0.0,1.0,16.0
fixed_prompt,PegJump-v0,puzzle,generic_fallback,3,0.0714285714285714,0.0,1.0,1.0,2.0
fixed_prompt,ReverseTicTacToe-v0,board_game,supported_policy_family,6,0.0,0.0,0.0,0.0,9.0
fixed_prompt,RushHour-v0,planning,generic_fallback,3,0.25,0.0,1.0,0.3333333333333333,3.0
fixed_prompt,Secretary-v0,stochastic_decision,generic_fallback,3,0.0,0.0,1.0,0.0,0.0
fixed_prompt,Secretary-v0-long,stochastic_decision,generic_fallback,3,0.0,0.0,1.0,0.0,0.0
fixed_prompt,Sudoku-v0-very-easy,symbolic_puzzle,generic_fallback,3,0.0,0.0,1.0,0.0,2.0
fixed_prompt,TowerOfHanoi-v0,planning,supported_policy_family,3,0.0,0.0,0.0,1.0,15.0
fixed_prompt,TowerOfHanoi-v0-medium,planning,supported_policy_family,3,0.0,0.0,0.0,1.0,31.0
fixed_prompt,WordLadder-v0,language_puzzle,generic_fallback,3,0.0,0.0,1.0,1.0,2.0
fixed_prompt,WordSearch-v0,language_puzzle,generic_fallback,3,0.0,0.0,1.0,1.0,4.0
fixed_prompt,Wordle-v0,language_puzzle,generic_fallback,3,0.13333333333333333,0.0,1.0,1.0,8.0
textgrad_policy_iteration,2048-v0-3x3,puzzle,generic_fallback,3,0.0029312785109156074,0.0,1.0,1.0,8.333333333333334
textgrad_policy_iteration,2048-v0-mega-easy,puzzle,generic_fallback,3,0.04917114695340502,0.0,1.0,1.0,7.333333333333333
textgrad_policy_iteration,2048-v0-super-easy,puzzle,generic_fallback,3,0.024443342151675485,0.0,1.0,1.0,7.333333333333333
textgrad_policy_iteration,2048-v0-ultra-easy,puzzle,generic_fallback,3,0.09953703703703705,0.0,1.0,1.0,7.333333333333333
textgrad_policy_iteration,2048-v0-very-easy,puzzle,generic_fallback,3,0.01218695319335083,0.0,1.0,1.0,7.333333333333333
textgrad_policy_iteration,Alquerque-v0,board_game,generic_fallback,6,0.0,0.5,0.5,1.0,3.0
textgrad_policy_iteration,Bandit-v0,stochastic_decision,supported_policy_family,3,0.2620123154715635,0.0,0.0,1.0,21.0
textgrad_policy_iteration,Bandit-v0-hard,stochastic_decision,supported_policy_family,3,0.22358462371953228,0.0,0.0,1.0,41.0
textgrad_policy_iteration,Battleship-v0,board_game,generic_fallback,6,0.0,0.5,0.5,1.0,4.0
textgrad_policy_iteration,Blackjack-v0,stochastic_decision,supported_policy_family,3,0.26666666666666666,0.0,0.0,1.0,5.0
textgrad_policy_iteration,Blackjack-v0-long,stochastic_decision,supported_policy_family,3,0.26666666666666666,0.0,0.0,1.0,15.0
textgrad_policy_iteration,Breakthrough-v0-tiny,board_game,generic_fallback,6,0.0,0.5,0.5,0.0,3.0
textgrad_policy_iteration,Checkers-v0,board_game,generic_fallback,6,0.0,0.5,0.5,0.0,2.0
textgrad_policy_iteration,Chopsticks-v0,board_game,generic_fallback,6,0.0,0.5,0.5,1.0,2.0
textgrad_policy_iteration,ConnectFour-v0,board_game,supported_policy_family,6,0.0,0.5,0.0,1.0,19.0
textgrad_policy_iteration,ConnectFour-v0-blind,board_game,supported_policy_family,6,0.0,0.5,0.5,1.0,8.0
textgrad_policy_iteration,Countdown-v0,puzzle,generic_fallback,3,0.0,0.0,1.0,0.0,4.0
textgrad_policy_iteration,Crosswords-v0,language_puzzle,generic_fallback,3,0.0,0.0,1.0,0.0,2.0
textgrad_policy_iteration,Cryptarithm-v0,symbolic_puzzle,generic_fallback,3,0.0,0.0,1.0,1.0,2.0
textgrad_policy_iteration,FrozenLake-v0,planning,supported_policy_family,3,1.0,1.0,0.0,1.0,6.0
textgrad_policy_iteration,FrozenLake-v0-hardcore,planning,supported_policy_family,3,1.0,1.0,0.0,1.0,8.0
textgrad_policy_iteration,FrozenLake-v0-random,planning,supported_policy_family,3,1.0,1.0,0.0,1.0,6.0
textgrad_policy_iteration,GameOfPureStrategy-v0,social_game,generic_fallback,6,0.0,0.5,0.5,1.0,16.0
textgrad_policy_iteration,GermanWhist-v0,card_game,generic_fallback,6,0.0,0.5,0.5,1.0,2.0
textgrad_policy_iteration,GuessTheNumber-v0,deduction,supported_policy_family,3,1.0,1.0,0.0,0.0,4.0
textgrad_policy_iteration,GuessTheNumber-v0-hardcore,deduction,supported_policy_family,3,1.0,1.0,0.0,0.0,3.3333333333333335
textgrad_policy_iteration,Hangman-v0,language_puzzle,generic_fallback,3,0.5634920634920635,0.0,0.3333333333333333,0.3333333333333333,9.0
textgrad_policy_iteration,Hangman-v0-hardcore,language_puzzle,generic_fallback,3,0.7450142450142451,0.0,1.0,1.0,12.0
textgrad_policy_iteration,IteratedPrisonersDilemma-v0,social_game,generic_fallback,6,0.0,0.0,0.0,1.0,40.0
textgrad_policy_iteration,IteratedRockPaperScissors-v0,social_game,generic_fallback,6,0.0,0.0,0.0,1.0,18.0
textgrad_policy_iteration,KuhnPoker-v0-short,card_game,generic_fallback,6,0.0,0.5,0.5,1.0,5.666666666666667
textgrad_policy_iteration,LightsOut-v0,puzzle,supported_policy_family,3,1.0,1.0,0.0,0.0,8.333333333333334
textgrad_policy_iteration,LogicPuzzle-v0,symbolic_puzzle,generic_fallback,3,0.0,0.0,1.0,0.0,2.0
textgrad_policy_iteration,LogicPuzzle-v0-hard,symbolic_puzzle,generic_fallback,3,0.0,0.0,1.0,0.0,2.0
textgrad_policy_iteration,Mastermind-v0,deduction,supported_policy_family,3,1.0,1.0,0.0,0.0,4.666666666666667
textgrad_policy_iteration,Mastermind-v0-hard,deduction,supported_policy_family,3,1.0,1.0,0.0,1.0,5.333333333333333
textgrad_policy_iteration,Minesweeper-v0-small,puzzle,generic_fallback,3,0.0,0.0,1.0,1.0,4.0
textgrad_policy_iteration,Nim-v0,board_game,supported_policy_family,6,1.0,1.0,0.0,1.0,11.5
textgrad_policy_iteration,Nim-v0-medium,board_game,supported_policy_family,6,1.0,1.0,0.0,1.0,10.5
textgrad_policy_iteration,PegJump-v0,puzzle,generic_fallback,3,0.0714285714285714,0.0,1.0,1.0,2.0
textgrad_policy_iteration,ReverseTicTacToe-v0,board_game,supported_policy_family,6,0.0,0.0,0.0,0.0,9.0
textgrad_policy_iteration,RushHour-v0,planning,generic_fallback,3,0.25,0.0,1.0,0.3333333333333333,3.0
textgrad_policy_iteration,Secretary-v0,stochastic_decision,generic_fallback,3,0.0,0.0,1.0,0.0,0.0
textgrad_policy_iteration,Secretary-v0-long,stochastic_decision,generic_fallback,3,0.0,0.0,1.0,0.0,0.0
textgrad_policy_iteration,Sudoku-v0-very-easy,symbolic_puzzle,generic_fallback,3,0.0,0.0,1.0,0.0,2.0
textgrad_policy_iteration,TowerOfHanoi-v0,planning,supported_policy_family,3,1.0,1.0,0.0,1.0,7.0
textgrad_policy_iteration,TowerOfHanoi-v0-medium,planning,supported_policy_family,3,1.0,1.0,0.0,1.0,15.0
textgrad_policy_iteration,WordLadder-v0,language_puzzle,generic_fallback,3,0.0,0.0,1.0,1.0,2.0
textgrad_policy_iteration,WordSearch-v0,language_puzzle,generic_fallback,3,0.0,0.0,1.0,1.0,4.0
textgrad_policy_iteration,Wordle-v0,language_puzzle,generic_fallback,3,0.13333333333333333,0.0,1.0,1.0,8.0
